t,D_output
9291,-0.6952834241117214
9292,-0.7083414752543378
9293,-0.7214189978129562
9294,-0.7345145075751471
9295,-0.7476264125360503
9296,-0.7607530102220657
9297,-0.7738924851422292
9298,-0.7870429062646325
9299,-0.8002022246207203
9300,-0.8133682708261871
9301,-0.8265387527556508
9302,-0.8397112533006517
9303,-0.8528832282546075
9304,-0.8660520042874478
9305,-0.8792147769728741
9306,-0.8923686090205367
9307,-0.9055104286327763
9308,-0.9186370280450334
9309,-0.9317450621992533
9310,-0.9448310476245994
9311,-0.9578913615053865
9312,-0.9709222409387956
9313,-0.9839197824915578
9314,-0.9968799419493234
9315,-1.0097985343358988
9316,-1.0226712342122928
9317,-1.0354935762706594
9318,-1.0482609562269396
9319,-1.0609686319585259
9320,-1.0736117251037982
9321,-1.0861852229547373
9322,-1.0986839806836854
9323,-1.1111027239184947
9324,-1.123436051820407
9325,-1.135678440484619
9326,-1.1478242466737043
9327,-1.159867712055665
9328,-1.1718029679270763
9329,-1.1836240402795868
9330,-1.1953248552096534
9331,-1.2068992449866565
9332,-1.2183409544819117
9333,-1.2296436479837132
9334,-1.2408009163867162
9335,-1.251806285097888
9336,-1.2626532221938258
9337,-1.2733351469283054
9338,-1.2838454387747193
9339,-1.2941774469612233
9340,-1.3043245002792672
9341,-1.3142799171567738
9342,-1.3240370163496178
9343,-1.3335891278665342
9344,-1.3429296041563057
9345,-1.352051831531986
9346,-1.3609492420652463
9347,-1.3696153255627466
9348,-1.378043641726162
9349,-1.386227832492497
9350,-1.3941616345262249
9351,-1.4018388918027822
9352,-1.4092535682305731
9353,-1.4163997602235088
9354,-1.4232717092637475
9355,-1.4298638143564744
9356,-1.436170644356705
9357,-1.4421869501499989
9358,-1.4479076766053387
9359,-1.4533279741443244
9360,-1.458443210097696
9361,-1.4632489796675148
9362,-1.4677411163932972
9363,-1.4719157022582754
9364,-1.475769077299078
9365,-1.479297848508474
9366,-1.4824988983014284
9367,-1.4853693923555862
9368,-1.48790678663341
9369,-1.4901088338561388
9370,-1.4919735892794268
9371,-1.493499415521735
9372,-1.4946849867795022
9373,-1.495529292270915
9374,-1.4960316386919144
9375,-1.4961916519877045
9376,-1.4960092783272256
9377,-1.4954847840748136
9378,-1.4946187550460517
9379,-1.4934120949565297
9380,-1.4918660229256953
9381,-1.4899820702487114
9382,-1.487762076387942
9383,-1.4852081841160665
9384,-1.4823228339470014
9385,-1.4791087578340578
9386,-1.4755689721645013
9387,-1.471706770087412
9388,-1.467525713183748
9389,-1.4630296226009125
9390,-1.45822256959818
9391,-1.4531088655272835
9392,-1.447693051462046
9393,-1.441979887340679
9394,-1.4359743406537702
9395,-1.4296815749632177
9396,-1.4231069380571473
9397,-1.4162559497716445
9398,-1.4091342898130317
9399,-1.4017477853519913
9400,-1.3941023984121583
9401,-1.3862042134058614
9402,-1.3780594245832185
9403,-1.3696743234081394
9404,-1.361055286179584
9405,-1.3522087617069831
9406,-1.343141259083574
9407,-1.3338593357529198
9408,-1.3243695857437872
9409,-1.314678628100304
9410,-1.3047930957250566
9411,-1.2947196244490788
9412,-1.2844648424272755
9413,-1.2740353599500487
9414,-1.2634377595777229
9415,-1.252678586664739
9416,-1.241764340332179
9417,-1.2307014648187817
9418,-1.2194963412678212
9419,-1.20815527995619
9420,-1.19668451295476
9421,-1.1850901872313298
9422,-1.1733783581942538
9423,-1.1615549836924575
9424,-1.1496259184399211
9425,-1.1375969088731461
9426,-1.1254735884673792
9427,-1.1132614734433897
9428,-1.1009659588955307
9429,-1.0885923153602894
9430,-1.076145685731352
9431,-1.06363108257833
9432,-1.0510533858701465
9433,-1.0384173409998902
9434,-1.0257275571878801
9435,-1.012988506241592
9436,-1.0002045215739597
9437,-0.9873797975693049
9438,-0.9745183892489108
9439,-0.9616242121464382
9440,-0.9487010424917577
9441,-0.9357525176898709
9442,-0.9227821369100435
9443,-0.9097932619551579
9444,-0.8967891183678917
9445,-0.8837727966524389
9446,-0.8707472536877555
9447,-0.8577153143461848
9448,-0.8446796732129217
9449,-0.8316428964273901
9450,-0.8186074236857968
9451,-0.8055755703416044
9452,-0.7925495295711079
9453,-0.7795313746591624
9454,-0.7665230613672427
9455,-0.753526430328995
9456,-0.740543209529076
9457,-0.7275750168363663
9458,-0.7146233625524171
9459,-0.7016896520026161
9460,-0.6887751881568097
9461,-0.6758811742554937
9462,-0.6630087164481712
9463,-0.6501588264377778
9464,-0.6373324241208346
9465,-0.6245303402200452
9466,-0.6117533189033377
9467,-0.599002020385569
9468,-0.5862770235128646
9469,-0.5735788283177671
9470,-0.5609078585429816
9471,-0.5482644641440108
9472,-0.5356489237508072
9473,-0.5230614470871683
9474,-0.5105021773646865
9475,-0.49797119363017495
