Distance,Speed,Throttle,Brake
2720.110555555554,228,100,False
2723.3830555555537,231,100,False
2733.8274999999985,235,100,False
2734.4199999999987,237,100,False
2756.992222222221,239,100,False
2757.731666666665,242,100,False
2774.198333333332,247,100,False
2776.188055555554,247,86,False
2791.3436111111096,248,72,False
2804.554444444443,249,58,False
2809.2694444444433,246,52,False
2824.1805555555543,244,46,False
2828.953333333332,242,40,False
2834.8372222222206,238,43,False
2853.037222222221,234,46,False
2857.593055555554,231,49,False
2872.593055555554,225,58,False
2873.153055555554,224,64,False
2880.619722222221,224,70,False
2887.5263888888876,224,76,False
2896.8388888888876,225,82,False
2900.040555555554,226,88,False
2911.958055555554,227,94,False
2917.746666666665,229,100,False
2931.215555555554,232,100,False
2935.8502777777762,235,100,False
2948.3058333333315,236,100,False
2948.966944444443,238,100,False
2964.300277777776,240,100,False
2970.3502777777762,242,100,False
2983.9486111111096,246,100,False
2986.075555555554,247,100,False
2994.9980555555535,249,100,False
3008.831388888887,249,99,False
3012.373055555554,250,99,False
3024.973055555554,252,99,False
3028.430277777776,254,100,False
3042.0655555555536,257,100,False
3045.6044444444424,260,100,False
3063.1377777777757,263,100,False
3069.8111111111093,264,100,False
3083.0611111111093,265,100,False
3093.4055555555537,266,100,False
3095.564444444443,268,100,False
3115.8144444444424,270,99,False
3122.715277777776,273,99,False
3141.7361111111095,275,99,False
3144.1213888888874,277,100,False
3162.7213888888878,279,100,False
3168.088055555554,280,100,False
3181.483055555554,282,100,False
3194.060833333332,283,100,False
3197.9399999999987,285,100,False
3222.73361111111,287,100,False
3233.0536111111096,288,100,False
3254.8088888888874,289,100,False
3257.1369444444426,289,99,False
3267.6897222222206,290,99,False
3271.6505555555545,291,99,False
3280.6538888888876,292,100,False
3291.117222222221,292,100,False
3300.1205555555543,292,100,False
3316.342777777776,292,100,False
3321.9202777777764,291,99,False
3332.509444444443,291,99,False
3341.3202777777765,291,99,False
3345.442777777776,291,99,False
